Karabas-128 BOM:

Part     Value               Device                                    Package                            Library                                               Sheet
R11      18k                 R-EU_0204/7                               0204/7                             rcl                                                   4
R12      3k9                 R-EU_0204/7                               0204/7                             rcl                                                   4
R13      18k                 R-EU_0204/7                               0204/7                             rcl                                                   4
R14      3k9                 R-EU_0204/7                               0204/7                             rcl                                                   4
R15      2k2                 R-EU_0204/7                               0204/7                             rcl                                                   4
R16      2k2                 R-EU_0204/7                               0204/7                             rcl                                                   4
R17      2k2                 R-EU_0204/7                               0204/7                             rcl                                                   4
R18      68                  R-EU_0204/7                               0204/7                             rcl                                                   4
R19      68                  R-EU_0204/7                               0204/7                             rcl                                                   4
R20      68                  R-EU_0204/7                               0204/7                             rcl                                                   4
R21      68                  R-EU_0204/7                               0204/7                             rcl                                                   4
R22      68                  R-EU_0204/7                               0204/7                             rcl                                                   4
R23      68                  R-EU_0204/7                               0204/7                             rcl                                                   4
R24      270                 R-EU_0204/7                               0204/7                             rcl                                                   4
R25      270                 R-EU_0204/7                               0204/7                             rcl                                                   4
R26      75                  R-EU_0204/7                               0204/7                             rcl                                                   4
R27      75                  R-EU_0204/7                               0204/7                             rcl                                                   4
R28      75                  R-EU_0204/7                               0204/7                             rcl                                                   4
R29      2k7                 R-EU_0204/7                               0204/7                             rcl                                                   4
R30      75                  R-EU_0204/7                               0204/7                             rcl                                                   4
R31      10k                 R-EU_0204/7                               0204/7                             rcl                                                   4
R32      270                 R-EU_0204/7                               0204/7                             rcl                                                   4
R33      150                 R-EU_0204/7                               0204/7                             rcl                                                   4
R34      1k                  R-EU_0204/7                               0204/7                             rcl                                                   1
R35      1k                  R-EU_0204/7                               0204/7                             rcl                                                   2
R36      1k                  R-EU_0204/7                               0204/7                             rcl                                                   2
R37      1k                  R-EU_0204/7                               0204/7                             rcl                                                   2
R38      12k                 R-EU_0204/7                               0204/7                             rcl                                                   3
R39      10k                 R-EU_0204/7                               0204/7                             rcl                                                   3
R40      470k*               R-EU_0204/7                               0204/7                             rcl                                                   3
R41      33k                 R-EU_0204/7                               0204/7                             rcl                                                   3
R42      1k                  R-EU_0204/7                               0204/7                             rcl                                                   3
R43      2k                  R-EU_0204/7                               0204/7                             rcl                                                   3
R44      2k                  R-EU_0204/7                               0204/7                             rcl                                                   3
R45      1k                  R-EU_0204/7                               0204/7                             rcl                                                   3
R46      2k                  R-EU_0204/7                               0204/7                             rcl                                                   3
R47      4k7                 R-EU_0204/7                               0204/7                             rcl                                                   3
R48      4k7                 R-EU_0204/7                               0204/7                             rcl                                                   3
R49      2k                  R-EU_0204/7                               0204/7                             rcl                                                   3
R50      12k                 R-EU_0204/7                               0204/7                             rcl                                                   3
R51      10k                 R-EU_0207/10                              0207/10                            rcl                                                   3
R52      10k                 R-EU_0204/7                               0204/7                             rcl                                                   3
RN1      10k                 RNX8                                      RN-9                               resistor-net                                          1
RN2      10k                 RNX5                                      RN-6                               resistor-net                                          3
RN3      10k                 RNX8                                      RN-9                               resistor-net                                          3
S1       RESET               MOMENTARY-SWITCH-SPST-PTH-RIGHT-ANGLE-KIT TACTILE_SWITCH_PTH_RIGHT_ANGLE_KIT SparkFun-Switches                                     3
X1       COMPOSITE           TOBU3                                     TOBU3                              con-hirschmann                                        4
X2       RGB Mini-Din        631008112021                              631008112021                       Wuerth_Elektronik_eiCan_Communication_Connectors_v2.2 4
X3       ZXKIT1 debug header PINHD-1X9                                 1X09                               pinhead                                               4
X4       TAPE IN/OUT         AUDIO_JACK_3.5MM_KIT                      AUDIO-JACK-KIT                     SparkFun-Connectors                                   3
X5       STEREO OUT          AUDIO_JACK_3.5MM_KIT                      AUDIO-JACK-KIT                     SparkFun-Connectors                                   3
X6       JTAG                CONN_05X2SHD                              2X5-SHROUDED                       SparkFun-Connectors                                   2
X7       KBD COLS            PINHD-1X5                                 1X05                               pinhead                                               3
X8       KBD ROWS            PINHD-1X8                                 1X08                               pinhead                                               3
X9       SPEAKER             PINHD-1X2                                 1X02                               pinhead                                               3
ZXBUS    Edge Connector      CONECTOR_EDGE_LADO_SPECTRUM               CONECTOR_LADO_SPECTRUM             zx_spectrum                                           3
